书名,链接,国家,作者,翻译者,出版社,出版时间,价格,星级,评分,评价人数,简介
红楼梦,https://book.douban.com/subject/1007305/,中,曹雪芹著, 人民文学出版社 , 人民文学出版社 ,1996, 59.70,5,9.6,378343,都云作者痴，谁解其中味？
活着,https://book.douban.com/subject/4913064/,中,余华 , , 作家出版社 ,2012, 20.00,4.5,9.4,710338,生的苦难与伟大
1984,https://book.douban.com/subject/4820710/,英,乔治·奥威尔, 刘绍铭 , 北京十月文艺出版社 ,2010, 28.00,4.5,9.4,245469,栗树荫下，我出卖你，你出卖我
百年孤独,https://book.douban.com/subject/6082808/,哥伦比亚,加西亚·马尔克斯, 范晔 , 南海出版公司 ,2011, 39.50,4.5,9.3,381068,魔幻现实主义文学代表作
三体全集,https://book.douban.com/subject/6518605/,中,刘慈欣 , , 重庆出版社 ,2012, 168.00,5,9.5,140873,地球往事三部曲
飘,https://book.douban.com/subject/1068920/,美,玛格丽特·米切尔, 李美华 , 译林出版社 ,2000, 40.00,4.5,9.3,195457,革命时期的爱情，随风而逝
哈利·波特,https://book.douban.com/subject/24531956/,中,J.K.罗琳 (J.K.Rowling) , , 人民文学出版社 ,2008, 498.00,5,9.7,75924,从9¾站台开始的旅程
三国演义（全二册）,https://book.douban.com/subject/1019568/,中,罗贯中, 人民文学出版社 , 人民文学出版社 ,1998, 39.50,4.5,9.3,151894,是非成败转头空
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,中,林奕含 , , 北京联合出版公司 ,2018, 45.00,4.5,9.2,321581,向死而生的文学绝唱
动物农场,https://book.douban.com/subject/2035179/,英,乔治·奥威尔, 荣如德 , 上海译文出版社 ,2007, 10.00,4.5,9.3,136410,太阳底下并无新事
白夜行,https://book.douban.com/subject/10554308/,日,东野圭吾, 刘姿君 , 南海出版公司 ,2013, 39.50,4.5,9.2,403260,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,https://book.douban.com/subject/1084336/,法,圣埃克苏佩里, 马振聘 , 人民文学出版社 ,2003, 22.00,4.5,9.1,698304,献给长成了大人的孩子们
天龙八部,https://book.douban.com/subject/1255625/,中,金庸 , , 生活·读书·新知三联书店 ,1994, 96.00,4.5,9.2,122776,有情皆孽，无人不冤
安徒生童话故事集,https://book.douban.com/subject/1046209/,中,（丹麦）安徒生 , , 人民文学出版社 ,1997, 25.00,4.5,9.2,116939,为了争取未来的一代
撒哈拉的故事,https://book.douban.com/subject/1060068/,中,三毛 , , 哈尔滨出版社 ,2003, 15.80,4.5,9.2,143628,游荡的自由灵魂
杀死一只知更鸟,https://book.douban.com/subject/6781808/,美,哈珀·李, 高红梅 , 译林出版社 ,2012, 32.00,4.5,9.2,123811,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,https://book.douban.com/subject/1449351/,中,鲁迅 , , 人民文学出版社 ,1973, 0.36,4.5,9.1,137351,新文学的第一声呐喊
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,中,当年明月 , , 中国海关出版社 ,2009, 358.20,4.5,9.2,142710,不拘一格的历史书写
沉默的大多数,https://book.douban.com/subject/1054685/,中,王小波 , , 中国青年出版社 ,1997, 27.00,4.5,9.1,136224,沉默是沉默者的通行证
失踪的孩子,https://book.douban.com/subject/30172069/,意,埃莱娜·费兰特, 陈英 , 人民文学出版社 ,2018, 62.00,4.5,9.2,63394,我的整个生命，只是一场为了提升社会地位的低俗斗争。
局外人,https://book.douban.com/subject/4908885/,法,阿尔贝·加缪, 柳鸣九 , 上海译文出版社 ,2010, 22.00,4.5,9.1,201702,人生在世，永远也不该演戏作假
中国历代政治得失,https://book.douban.com/subject/1003479/,中,钱穆 , , 生活·读书·新知三联书店 ,2001, 12.00,4.5,9.2,60612,一部简明的“中国政治制度史”
新名字的故事,https://book.douban.com/subject/26986954/,意,埃莱娜·费兰特, 陈英 , 人民文学出版社 ,2017, 59.00,4.5,9.2,73918,探索青年时代的激情、困惑、挣扎、背叛和失去
人类简史,https://book.douban.com/subject/25985021/,以色列,尤瓦尔·赫拉利, 林俊宏 , 中信出版社 ,2014, 68.00,4.5,9.1,178090,跟着人类一同走过十万年
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,中,路遥 , , 人民文学出版社 ,2005, 64.00,4.5,9,300626,中国当代城乡生活全景
围城,https://book.douban.com/subject/1008145/,中,钱锺书 , , 人民文学出版社 ,1991, 19.00,4.5,9,424943,幽默的语言和对生活深刻的观察
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,中,金庸 , , 生活·读书·新知三联书店 ,1994, 76.80,4.5,9.1,103641,欲练此功，必先自宫
